"Country_Region","Confirmed","Deaths"
"US",7712,146
"US",4704,62
"US",22792,356
"US",2219,45
"US",5197,119
"US",1546,31
"US",1245,30
"US",1411,34
"US",3059,72
"US",5042,121
"US",1966,61
"US",24249,316
"US",5246,89
"US",2693,39
"US",11661,228
"US",4296,63
"US",6723,136
"US",2477,47
"US",3788,54
"US",2491,33
"US",1511,24
"US",2185,50
"US",1708,36
"US",12309,265
"US",2938,71
"US",6884,82
"US",2059,63
"US",7650,150
"US",40230,697
"US",3338,80
"US",9071,225
"US",71487,1300
"US",4519,87
"US",601,12
"US",2758,39
"US",8075,116
"US",2889,65
"US",4354,88
"US",831,24
"US",4081,63
"US",400,10
"US",1245,33
"US",1344,37
"US",1175,12
"US",1212,23
"US",947,28
"US",12948,204
"US",1941,27
"US",858,34
"US",2489,39
"US",1860,51
"US",2513,42
"US",1221,15
"US",1933,38
"US",3447,74
"US",1520,14
"US",24443,418
"US",1560,46
"US",2681,27
"US",1689,29
"US",508,6
"US",15176,94
"US",1100,37
"US",0,231
"US",511,4
"US",15786,271
"US",1274,32
"US",9391,184
"US",2630,58
"US",545,10
"US",5326,107
"US",1450,16
"US",5291,152
"US",1935,51
"US",2351,38
"US",2500,28
"US",610,17
"US",266,2
"US",1184,25
"US",976,36
"US",384,7
"US",1989,37
"US",12820,218
"US",1924,15
"US",2271,44
"US",1445,16
"US",3727,26
"US",1290,22
"US",1173,9
"US",2393,30
"US",1056,38
"US",1398,18
"US",4353,62
"US",1241,22
"US",1041,11
"US",690,6
"US",1551,12
"US",1396,46
"US",4151,55
"US",2133,22
"US",7983,66
"US",639,20
"US",430,4
"US",1637,29
"US",3548,34
"US",1717,20
"US",10653,136
"US",1020,24
"US",1412,19
"US",1284,34
"US",909,17
"US",472,5
"US",648,7
"US",1095,17
"US",957,23
"US",1491,24
"US",1183,24
"US",1457,26
"US",1446,53
"US",2485,27
"US",727,17
"US",983,18
"US",699,29
"US",1141,21
"US",1785,29
"US",2914,53
"US",1033,20
"US",11186,47
"US",2593,48
"US",792,25
"US",1559,32
"US",2878,24
"US",16659,245
"US",1076,24
"US",584,8
"US",1260,25
"US",975,8
"US",1749,34
"US",2716,47
"US",4037,57
"US",1285,15
"US",1048,30
"US",549,16
"US",682,17
"US",770,15
"US",3584,75
"US",1591,53
"US",614,8
"US",1373,13
"US",819,8
"US",3366,51
"US",724,12
"US",41670,412
"US",8327,95
"US",1212,24
"US",367,7
"US",1041,14
"US",14197,152
"US",950,24
"US",4355,44
